"Keyword","Score"
"moneywise.zoe chacethree","0.28766","1"
"sixth","0.28726","1"
"numbers","0.28716","6"
"front","0.28702","4"
"falls","0.28617","3"
"shrinking","0.28586","2"
"rob","0.28575","2"
"parade","0.28561","4"
"mini parade","0.28561","1"
"jo","0.28491","1"
"conlee","0.28467","2"
"me.ira glassjohn ellison conlee","0.28467","1"
"main plank","0.28418","1"
"saturday night","0.28403","2"
"sarah","0.28279","1"
"booed","0.28266","1"
"martin luther king","0.28217","1"
"are.zoe chacehe","0.28209","1"
"commits","0.28111","2"
"message","0.28110","4"
"blue-eyed blonde","0.28082","1"
"largest industry","0.28082","1"
"journal","0.28069","1"
"own fault","0.28047","1"
"al","0.28023","3"
"al novstrupi","0.28023","1"
"kestenbaum","0.28009","1"
"branstnerfirst","0.28008","1"
"the walking dead","0.27983","1"
"new development","0.27980","1"
"speech","0.27887","7"
"announcement speech","0.27887","1"
"control","0.27861","5"
"god","0.27842","1"
"catholic","0.27806","2"
"15 minutes","0.27799","2"
"congress","0.27754","1"
"constitution","0.27743","1"
"world premiere","0.27651","1"
"weirds","0.27612","1"
"disloyal.bobby bensoni","0.27565","1"
"sit","0.27554","4"
"culture","0.27516","3"
"us-mexico border","0.27490","1"
"joffe-walt","0.27471","1"
"terrorist.aj kernif","0.27404","1"
"president.ron branstneri","0.27404","1"
"bar","0.27377","4"
"big complex","0.27325","1"
"other hosts","0.27234","1"
"hosts","0.27234","4"
"chaceone","0.27216","1"
"white woman","0.27190","1"
"remember","0.27129","3"
"intimidated","0.27088","2"
"old peace","0.27073","1"
"printed","0.27072","2"
"killed","0.27004","3"
"famine","0.26999","1"
"marone","0.26993","1"
"brandmire","0.26987","1"
"airtime.rob longsomeone","0.26974","1"
"esposito","0.26968","1"
"addressed","0.26967","3"
"movement","0.26905","3"
"neiwert","0.26824","1"
"traditional republicans","0.26723","1"
"chaceron","0.26720","3"
"bailey","0.26716","1"
"racist","0.26669","3"
"zoe chaceayan","0.26642","2"
"figures","0.26638","4"
"council","0.26627","2"
"afternoon.zoe","0.26531","1"
"late at night","0.26510","1"
"basket","0.26495","1"
"robinsonrob","0.26395","1"
"us.aj kern","0.26387","1"
"county","0.26385","4"
"loud noises","0.26312","1"
"racism","0.26310","1"
"sally","0.26286","1"
"that.ira glassalso","0.26223","1"
"lockdown","0.26199","1"
"role","0.26170","2"
"anyone","0.26145","4"
"applebee","0.26068","2"
"abdelkader","0.26038","1"
"washington","0.26030","1"
"chana","0.26022","1"
"sort","0.26007","3"
"press","0.26005","2"
"singing","0.25914","1"
"leader","0.25897","3"
"zoe chaceshe kneels","0.25864","1"
"jackson","0.25841","1"
"raised","0.25803","4"
"principles","0.25759","1"
"with.zoe","0.25732","1"
"fun","0.25692","4"
"ballroom","0.25680","2"
"us","0.25618","1"
"retirement age","0.25618","1"
"zoning","0.25386","3"
"chapter","0.25368","2"
"local chapters","0.25368","1"
"'70s","0.25293","1"
"bad day","0.25292","1"
"religious texts","0.25261","1"
"moratorium","0.25256","5"
"apartments","0.25238","1"
"gabriel","0.25208","1"
"fifth","0.25170","1"
"lily sullivan","0.25165","2"
"lipstick","0.25138","1"
"aces.zoe chacethis","0.25065","1"
"pledge","0.25062","2"
"picnic","0.25028","2"
"america.zoe","0.24954","2"
"choose","0.24932","4"
"35","0.24879","1"
"grow","0.24796","5"
"foo","0.24765","1"
"emmeri","0.24754","3"
"france","0.24729","1"
"help","0.24701","5"
"separate issue.the","0.24679","1"
"peter robinson","0.24644","2"
"assimilation","0.24642","3"
"july","0.24555","1"
"glassas","0.24551","1"
"oremus","0.24529","1"
"bathtubs","0.24528","1"
"republicans","0.24508","38"
"floor","0.24506","1"
"american","0.24473","11"
"different planets.zoe chacesharia","0.24436","1"
"nominee","0.24402","2"
"website","0.24391","1"
"ox","0.24337","1"
"officer","0.24336","1"
"trade","0.24310","2"
"neil","0.24288","2"
"fixing","0.24250","1"
"wedding","0.24248","3"
"other candidates","0.24239","1"
"total opposite.zoe chaceit","0.24215","1"
"win","0.24203","7"
"conversation","0.24070","5"
"little earlier","0.24042","1"
"earner","0.24040","1"
"production staff","0.24028","1"
"emmerall","0.23991","1"
"cloud metro population","0.23979","1"
"hook","0.23930","1"
"last decade","0.23926","1"
"benson","0.23913","2"
"meek","0.23891","1"
"president","0.23848","3"
"ron branstner","0.23798","1"
"ihop","0.23714","1"
"malatia","0.23707","1"
"let","0.23679","10"
"play","0.23676","5"
"hot sauce","0.23625","1"
"h-1b visa program.remember","0.23625","1"
"burton","0.23593","1"
"charities","0.23467","1"
"longwinning","0.23459","1"
"aj","0.23386","3"
"aj kern","0.23386","4"
"rallies","0.23370","2"
"outsiders","0.23361","1"
"shocked","0.23326","2"
"war-torn terrorist","0.23171","1"
"terrorist","0.23171","1"
"foreigner","0.23160","1"
"cole","0.23076","1"
"the islamic center of","0.23071","1"
"susan","0.23018","1"
"properties","0.22959","1"
"cast","0.22948","1"
"including","0.22903","3"
"moving","0.22880","3"
"crops","0.22855","1"
"stephanie","0.22836","1"
"refresh","0.22803","1"
"genitals","0.22773","1"
"michael","0.22717","1"
"drink","0.22697","3"
"statement","0.22666","3"
"please.manyour statement","0.22666","1"
"engy","0.22664","1"
"hate","0.22655","3"
"unfolded","0.22638","1"
"ryan.neil","0.22612","1"
"state rep","0.22556","1"
"crisis","0.22533","1"
"perspective","0.22510","1"
"attacks","0.22473","3"
"reagan","0.22473","2"
"branstnerso","0.22439","1"
"big surge","0.22396","1"
"battle","0.22393","1"
"arnn","0.22347","1"
"governed","0.22314","2"
"study","0.22224","3"
"much.bobby bensonyou","0.22203","1"
"touches","0.22202","1"
"debate","0.22178","2"
"chacethis","0.22067","3"
"youth","0.22048","1"
"fish","0.22036","1"
"kristen","0.22028","1"
"future","0.21996","2"
"represent","0.21976","2"
"animates","0.21937","1"
"hours","0.21937","1"
"that.zoe","0.21932","1"
"dzotsi","0.21914","1"
"central","0.21892","3"
"central tenants","0.21892","1"
"opinion","0.21843","4"
"strong opinion","0.21843","1"
"roywhat","0.21830","1"
"newscasterbreaking","0.21827","1"
"reason","0.21740","3"
"chaceof","0.21720","1"
"cause","0.21690","1"
"middle class","0.21681","1"
"class","0.21681","2"
"a few months ago","0.21647","1"
"personal level","0.21627","1"
"night.tom emmerthey","0.21616","1"
"neighborhood","0.21608","3"
"shot","0.21577","1"
"rob long.rob longlook","0.21551","1"
"claim","0.21543","2"
"guess","0.21540","2"
"manoh","0.21523","1"
"ten commandments","0.21523","1"
"san bernardino","0.21523","2"
"facebook","0.21523","1"
"pandemonium erupts","0.21523","1"
"truth sets","0.21523","1"
"scattered applause","0.21523","1"
"new boyfriend","0.21520","1"
"flag","0.21519","1"
"traffic","0.21503","2"
"mic","0.21494","1"
"rob long","0.21470","9"
"license","0.21448","1"
"increasing","0.21444","2"
"quote","0.21431","2"
"eaten","0.21317","1"
"zoe chaceso","0.21313","1"
"drives","0.21306","2"
"republican anymore","0.21240","1"
"picked","0.21189","5"
"reagan speechwriter","0.21180","1"
"christopher","0.21180","1"
"everybody","0.21179","4"
"feeling.carolwhen","0.21177","1"
"al novstrupdearborn","0.21173","1"
"kirsty","0.21161","1"
"panels","0.21157","3"
"hearing","0.21120","2"
"proposal","0.21068","1"
"chacesome","0.21035","1"
"prophet","0.20988","1"
"congressman","0.20928","4"
"rethinking","0.20906","2"
"spicy","0.20887","1"
"emmerfor","0.20853","1"
"perceived","0.20829","1"
"spirit","0.20825","1"
"usa","0.20822","1"
"u.s.a","0.20822","1"
"beer","0.20781","2"
"white nationalists","0.20773","1"
"indian","0.20741","1"
"novstrup","0.20739","1"
"garages","0.20712","2"
"bringing","0.20686","4"
"large percentage","0.20660","1"
"audit","0.20658","2"
"flavor","0.20652","1"
"individuals","0.20652","1"
"seen.zoe chacethat","0.20649","1"
"national","0.20641","2"
"chaceaccording","0.20633","1"
"business","0.20619","2"
"emerging","0.20582","2"
"dialogue","0.20574","1"
"ira glassright","0.20568","2"
"ira","0.20568","6"
"fence","0.20538","2"
"wooden fence","0.20538","1"
"slowed","0.20518","1"
"grassroots","0.20487","1"
"home","0.20445","1"
"buying","0.20416","5"
"sean","0.20415","1"
"war","0.20397","2"
"civil war","0.20397","1"
"intervention","0.20375","1"
"need","0.20352","7"
"horrifying","0.20316","1"
"quiet sunday afternoon","0.20280","1"
"descends","0.20273","1"
"steering","0.20271","1"
"emmerwhat","0.20255","2"
"one","0.20251","5"
"american.zoe","0.20229","1"
"germans","0.20227","1"
"chaceon","0.20201","1"
"peter meyer","0.20169","1"
"chivvis","0.20165","1"
"coordinates","0.20162","1"
"chacecongressman","0.20144","2"
"me.zoe chacescott","0.20141","1"
"branstnerand","0.20101","1"
"james lileksrob","0.20082","2"
"sloshes","0.20048","1"
"management","0.20033","1"
"gingrich","0.20029","1"
"frozen","0.20026","1"
"fear.zoe","0.20020","1"
"zoe chaceat","0.20000","2"
"should.ira","0.19988","1"
"west","0.19983","1"
"clearwater","0.19892","2"
"keep","0.19888","2"
"address","0.19883","2"
"tiptoes","0.19883","1"
"anti-immigration","0.19838","1"
"candidate","0.19818","6"
"rest","0.19800","1"
"emphasis","0.19757","1"
"tea","0.19751","2"
"priebus.john","0.19747","1"
"medicare","0.19747","1"
"drumming","0.19724","1"
"big hand","0.19597","1"
"smashed","0.19596","2"
"delivered","0.19391","1"
"him.bobby bensonshe","0.19299","1"
"nonprofits","0.19268","2"
"november 8","0.19230","1"
"three-year-olds","0.19230","1"
"zoe chacethe center","0.19226","1"
"splitting","0.19202","3"
"here.somali","0.19143","1"
"tal.fm/600","0.19126","1"
"bus","0.19110","2"
"conflict","0.19076","2"
"measurements","0.19074","1"
"branstnerthere","0.19058","1"
"random parade","0.19041","1"
"coalition","0.19037","1"
"theories","0.19003","2"
"beer.scotti","0.18992","1"
"manif","0.18883","1"
"gun","0.18855","1"
"behave","0.18844","1"
"care","0.18824","3"
"band","0.18812","2"
"zoe chaceyou","0.18811","2"
"chaceyou","0.18811","2"
"short time.womanfor","0.18799","1"
"conleethe","0.18755","1"
"fm","0.18709","1"
"laughing","0.18703","1"
"wbez","0.18694","1"
"fact","0.18648","6"
"whole web","0.18633","1"
"designed","0.18613","1"
"chacecarol","0.18601","2"
"soul","0.18595","1"
"victories","0.18545","1"
"tale","0.18525","1"
"office","0.18522","3"
"screen","0.18508","1"
"dodging","0.18481","1"
"composer","0.18473","1"
"allegiance","0.18439","1"
"district","0.18435","2"
"sundown","0.18426","1"
"park","0.18354","1"
"chaceyeah.caroland","0.18297","1"
"emmanuel","0.18284","1"
"emmerthey","0.18254","2"
"adviser","0.18241","1"
"engaged","0.18211","1"
"direction","0.18205","1"
"announcing","0.18153","2"
"carolina.donald","0.18150","1"
"coffee","0.18144","2"
"conferences","0.18143","1"
"branstner.ron","0.18061","1"
"crossroads","0.18019","3"
"official","0.17990","1"
"size","0.17969","1"
"research","0.17910","3"
"morphed","0.17894","2"
"economy","0.17874","1"
"citizens","0.17865","3"
"everything","0.17865","1"
"grievance","0.17856","1"
"arrangements","0.17839","1"
"lopez","0.17823","1"
"scholarship","0.17823","1"
"it.ira","0.17823","2"
"drawn","0.17815","1"
"country.zoe","0.17796","1"
"weirdos","0.17789","1"
"novstrupi","0.17786","2"
"constituency","0.17704","1"
"know.zoe","0.17673","2"
"welfare","0.17659","2"
"pictures","0.17640","1"
"lileksrob","0.17636","2"
"reporting","0.17623","1"
"yelling","0.17616","1"
"election","0.17606","4"
"software","0.17596","1"
"derived","0.17566","1"
"hope","0.17554","3"
"amount","0.17514","1"
"disposed","0.17509","1"
"arena","0.17499","2"
"piece","0.17473","3"
"omarat","0.17435","1"
"close","0.17398","2"
"read.al","0.17381","1"
"web","0.17357","2"
"formed","0.17352","2"
"abandoning","0.17337","1"
"dave kleis","0.17332","2"
"december","0.17324","1"
"stepped","0.17314","1"
"basketball","0.17291","2"
"nine-foot","0.17251","2"
"christian","0.17251","1"
"privatization","0.17128","1"
"merritt.our","0.17103","1"
"ruining","0.17095","2"
"finance","0.17086","1"
"hospital","0.17084","2"
"flare","0.17080","1"
"turn","0.17078","3"
"hit","0.17074","2"
"super","0.17064","1"
"cry","0.17056","3"
"chacetwo","0.17032","1"
"crossing","0.17003","1"
"longbut","0.16998","1"
"andrew","0.16985","1"
"mitt","0.16972","2"
"vet","0.16962","1"
"audience","0.16918","1"
"coon","0.16892","2"
"coon rapids","0.16892","2"
"schmidt","0.16891","1"
"specialize","0.16866","1"
"exercises","0.16844","1"
"moderatorif","0.16813","1"
"director","0.16741","2"
"opera.ira","0.16735","1"
"glasses","0.16732","1"
"that.ira","0.16728","2"
"another.and","0.16723","1"
"vice","0.16722","1"
"respond","0.16722","2"
"roythe","0.16708","1"
"broadway","0.16582","1"
"gay marriage","0.16579","1"
"victim.bobby bensontalking","0.16579","1"
"immigrant.ron branstneryou","0.16579","1"
"questioner clarifies.manwe","0.16579","1"
"ayan.ayan omaryou","0.16579","1"
"recognition","0.16548","1"
"consensus","0.16544","1"
"camp.the","0.16532","1"
"refugees.in","0.16532","1"
"rehearsal","0.16510","1"
"music","0.16506","2"
"caliphate.ron","0.16473","1"
"table","0.16471","1"
"apostate","0.16435","1"
"breather","0.16415","2"
"support","0.16413","2"
"argue","0.16404","3"
"worried","0.16376","2"
"spending","0.16342","1"
"game","0.16342","1"
"offense","0.16277","1"
"menace","0.16246","1"
"remains","0.16239","1"
"few months","0.16235","1"
"islamic","0.16225","1"
"nerd","0.16215","1"
"left","0.16191","6"
"square","0.16156","1"
"road.zoe","0.16136","1"
"jaws","0.16119","1"
"softball","0.16060","1"
"towards","0.16017","1"
"glassthe","0.15976","1"
"track","0.15957","1"
"hillsdale","0.15953","1"
"omarok","0.15946","1"
"budget","0.15939","2"
"chacekern","0.15938","1"
"sinking","0.15887","1"
"chacehave","0.15867","1"
"ron","0.15865","1"
"wage","0.15843","1"
"missiles","0.15817","1"
"big signs","0.15799","1"
"slam","0.15797","2"
"mini","0.15751","2"
"information.then","0.15749","1"
"downtown","0.15731","2"
"appalled","0.15730","1"
"http","0.15665","1"
"concludes","0.15642","2"
"text","0.15617","2"
"booed","0.15616","1"
"table.zoe chaceand","0.15608","1"
"confess","0.15578","1"
"torey","0.15576","1"
"disagree","0.15548","2"
"rupar","0.15545","2"
"ill","0.15536","1"
"changing.carolyeah","0.15532","1"
"choked","0.15506","1"
"memory.zoe","0.15503","1"
"hillary","0.15465","1"
"speak.zoe","0.15421","1"
"rapids","0.15388","2"
"candidate tweets","0.15367","1"
"abortion","0.15336","1"
"parenthood","0.15336","1"
"tanks.you","0.15326","1"
"plan","0.15320","2"
"cracking","0.15317","1"
"resentment.avik","0.15317","1"
"thinktank","0.15315","1"
"chacethere","0.15304","1"
"religion","0.15276","2"
"classifies","0.15260","1"
"non-believers","0.15258","1"
"trumpand","0.15220","1"
"longi","0.15211","2"
"outnumbered","0.15204","1"
"mccain","0.15202","1"
"opera.zoe","0.15198","1"
"muslims.i","0.15188","1"
"muslims.newscasteram","0.15157","1"
"glassyeah.rob","0.15152","1"
"chacecrossroads","0.15148","1"
"worrier","0.15139","1"
"february","0.15134","1"
"chaceok","0.15121","1"
"emmer.when","0.15110","1"
"opera","0.15087","1"
"zoe chaceyeah","0.15055","2"
"chatting","0.15054","1"
"line.carolok","0.15045","1"
"manthe","0.15034","1"
"yes.tom","0.15034","1"
"ear","0.15029","1"
"situations","0.14992","3"
"chacemhm.ira","0.14967","1"
"syrian","0.14965","1"
"like.ira","0.14965","1"
"authority","0.14955","1"
"dayton","0.14930","1"
"discredited","0.14866","2"
"clinton","0.14861","1"
"leadership","0.14853","3"
"background","0.14839","1"
"national reporter","0.14825","1"
"gearing","0.14824","2"
"ira glassone","0.14814","1"
"ira glassok","0.14814","2"
"pass","0.14806","1"
"gingrichlet","0.14799","1"
"loon","0.14794","1"
"applied","0.14789","1"
"creeping","0.14749","1"
"oath","0.14731","1"
"divide","0.14709","2"
"gives","0.14678","1"
"recovery","0.14675","1"
"threat","0.14662","1"
"contracts","0.14648","1"
"withdrawn","0.14643","1"
"cruz","0.14627","1"
"ted cruz","0.14627","1"
"case.zoe","0.14618","1"
"popping","0.14606","1"
"podcast","0.14601","1"
"me.zoe","0.14596","1"
"minding","0.14588","2"
"buildings","0.14556","1"
"route","0.14549","1"
"hotbed","0.14544","1"
"writer","0.14531","1"
"chacefrom","0.14529","1"
"nobody","0.14519","9"
"burden","0.14510","1"
"reform","0.14499","1"
"is.zoe","0.14497","1"
"great martin luther king","0.14485","1"
"plenty","0.14443","1"
"writings","0.14413","1"
"chacethree","0.14383","1"
"insane","0.14351","1"
"chaceanti-refugee","0.14340","1"
"retreat","0.14322","1"
"discussion","0.14284","1"
"here.peter","0.14264","1"
"sniff","0.14227","1"
"saturday","0.14201","1"
"vehicle","0.14165","1"
"dana","0.14146","1"
"refugees.ron","0.14110","1"
"king","0.14109","1"
"are.zoe","0.14105","1"
"combination","0.14082","1"
"family","0.14064","3"
"room.ira","0.14048","1"
"industry","0.14041","1"
"blonde","0.14041","1"
"chacesomeone","0.14033","1"
"fault","0.14023","1"
"covering","0.14008","1"
"up.someone","0.13997","1"
"dead","0.13991","1"
"walking dead","0.13991","1"
"fray","0.13991","1"
"development","0.13990","1"
"breather.tom","0.13986","1"
"mutilation","0.13970","1"
"assimilate","0.13968","2"
"core","0.13965","1"
"misinformation.then","0.13961","1"
"influence","0.13921","1"
"subvert","0.13921","1"
"party.in","0.13917","1"
"cheering","0.13916","1"
"parts.one","0.13905","1"
"minutes","0.13899","3"
"camps","0.13897","1"
"tears","0.13877","1"
"priebus.zoe","0.13858","1"
"constituents","0.13839","2"
"world","0.13825","3"
"tongues","0.13811","1"
"breath","0.13811","1"
"reagan.james","0.13739","1"
"fired","0.13735","2"
"kernif","0.13702","1"
"branstneri","0.13702","1"
"emmerhere","0.13701","1"
"invited","0.13696","1"
"seat","0.13690","1"
"complex","0.13662","1"
"tactics","0.13630","1"
"brigitte","0.13630","1"
"spread","0.13630","1"
"circuit","0.13630","1"
"marched","0.13576","1"
"stack","0.13560","1"
"living","0.13542","3"
"rejected","0.13539","1"
"replace","0.13533","1"
"drawbridge","0.13508","1"
"opposing","0.13508","2"
"position","0.13507","3"
"missed","0.13507","2"
"longsomeone","0.13487","1"
"noting","0.13420","2"
"excited","0.13413","2"
"destroyed","0.13413","1"
"handful","0.13413","2"
"works.ron","0.13375","1"
"latin","0.13375","1"
"equation","0.13375","1"
"curled","0.13365","1"
"longit","0.13360","1"
"glassjohn","0.13360","1"
"gift","0.13274","2"
"strain","0.13263","1"
"screwed","0.13263","1"
"bensonthis","0.13238","1"
"disciplined","0.13235","1"
"squished","0.13224","1"
"ira glassso","0.13201","2"
"glassso","0.13201","2"
"tenses","0.13193","1"
"more.zoe","0.13167","1"
"court","0.13167","2"
"police","0.13165","1"
"noises","0.13156","1"
"whore","0.13138","1"
"contributing","0.13138","1"
"glassfrom","0.13116","1"
"glassalso","0.13111","1"
"road","0.13104","2"
"swapped","0.13092","1"
"extremism","0.12953","1"
"allegiance.crowdi","0.12933","1"
"kneels","0.12932","1"
"chacecorrect.al","0.12918","1"
"mani","0.12908","1"
"ronald","0.12891","1"
"spot","0.12879","1"
"advised","0.12868","1"
"packed","0.12855","1"
"levine.our","0.12847","1"
"scared","0.12824","2"
"retirement","0.12809","1"
"tastes","0.12773","1"
"amnesty","0.12764","1"
"surprised","0.12753","1"
"newt","0.12729","1"
"job.we","0.12711","1"
"chaceshe","0.12701","1"
"zoe chaceshe","0.12701","1"
"aces","0.12681","2"
"year.rob","0.12679","1"
"tonight.manmr","0.12679","1"
"frustrated","0.12657","1"
"commissioning","0.12637","1"
"years.zoe","0.12621","1"
"emmerif","0.12617","1"
"welcomes","0.12600","1"
"sullivan","0.12583","1"
"dress","0.12572","1"
"sum","0.12568","1"
"please","0.12543","5"
"gate","0.12540","1"
"doors","0.12540","1"
"against.moderatorplease","0.12532","1"
"aces.zoe","0.12532","1"
"zoe chaceand","0.12486","2"
"him.and","0.12484","1"
"slats","0.12484","1"
"chance.tom","0.12457","1"
"teacher","0.12448","1"
"anybody","0.12440","1"
"sounds","0.12440","2"
"beginning","0.12440","1"
"tantrums","0.12423","2"
"think.rob","0.12410","1"
"thinking","0.12409","1"
"knives","0.12404","1"
"sell","0.12358","1"
"plant","0.12358","1"
"traitor","0.12356","1"
"peter","0.12322","2"
"bothering","0.12279","1"
"july of 2015","0.12277","2"
"soviet","0.12268","1"
"diet","0.12268","1"
"though.manwe","0.12251","1"
"crime","0.12236","1"
"scholar","0.12236","1"
"ted","0.12235","1"
"chacesharia","0.12218","1"
"land.sharia","0.12199","1"
"members","0.12192","3"
"migrant","0.12179","1"
"cloud group.carolwell","0.12163","1"
"tonight","0.12163","1"
"wilmar","0.12163","1"
"confused","0.12157","1"
"carolright","0.12149","1"
"inaudible","0.12149","1"
"lash","0.12149","1"
"attention","0.12147","2"
"values","0.12136","1"
"delegation","0.12127","1"
"border.ron","0.12127","1"
"chaceit","0.12107","1"
"movie","0.12099","1"
"glassthis","0.12084","1"
"larry","0.12078","1"
"humanity","0.12049","1"
"question.jamai","0.12049","1"
"baseball","0.12049","1"
"anywheres","0.12046","1"
"anywhere.al","0.12046","1"
"ramping","0.12044","1"
"agreed","0.12036","2"
"will","0.12021","1"
"continues.it","0.12021","1"
"co-founder","0.12021","1"
"staff","0.12014","2"
"wow","0.12011","3"
"back.i","0.12004","1"
"majority","0.11995","1"
"nieces","0.11989","1"
"him.bobby","0.11987","2"
"stroke","0.11978","1"
"levers","0.11977","1"
"violence","0.11971","1"
"the last decade","0.11963","1"
"decade","0.11963","1"
"chacein","0.11959","1"
"donor","0.11946","1"
"comment","0.11915","1"
"congestion","0.11911","1"
"are","0.11886","4"
"pained","0.11861","3"
"assault","0.11853","1"
"program.remember","0.11812","1"
"sauce","0.11812","1"
"proper","0.11803","1"
"bumbling","0.11803","1"
"tattle","0.11750","1"
"constitution.manyou","0.11736","1"
"creating","0.11735","2"
"leads","0.11734","2"
"challenge","0.11716","1"
"border","0.11662","2"
"warning","0.11662","1"
"tuesday","0.11634","1"
"scottthey","0.11634","1"
"h-1b","0.11634","1"
"us","0.11634","1"
"second","0.11634","1"
"breitbart","0.11634","1"
"carolthey","0.11634","1"
"girlfriends.zoe chaceayan","0.11634","1"
"mexico","0.11634","1"
"chinese","0.11634","1"
"polish","0.11634","1"
"jama","0.11634","1"
"hugo","0.11634","1"
"father peter meyer","0.11634","1"
"gop","0.11634","1"
"governor dayton","0.11634","1"
"book","0.11605","1"
"thrown","0.11601","2"
"caribou","0.11581","2"
"mosque/community","0.11580","1"
"shaking","0.11572","1"
"daughter","0.11555","1"
"center-right","0.11541","1"
"unity","0.11532","1"
"preferred","0.11526","1"
"controversial.carolit","0.11519","1"
"platform","0.11485","2"
"tower","0.11485","1"
"upsetting","0.11444","1"
"lump","0.11434","2"
"hijab","0.11423","1"
"walk","0.11406","3"
"impacted","0.11387","1"
"traveling","0.11345","1"
"burst","0.11344","1"
"realized","0.11334","2"
"robinson","0.11332","1"
"tariffs","0.11297","1"
"thoughts","0.11284","1"
"generated","0.11263","1"
"round","0.11237","1"
"rep","0.11208","1"
"department","0.11208","1"
"recognize","0.11167","1"
"neighbor","0.11167","1"
"emergency","0.11167","1"
"online","0.11167","1"
"omarto","0.11160","1"
"graf.special","0.11156","1"
"america.donald","0.11144","1"
"present","0.11139","1"
"moment","0.11130","1"
"problem.manthey","0.11098","1"
"chacehere","0.11070","1"
"ladies","0.11062","1"
"loose","0.11038","1"
"half","0.11038","1"
"spills","0.11034","1"
"peteri","0.11003","1"
"lily","0.10967","1"
"candidacy","0.10963","1"
"says.like","0.10938","1"
"mr","0.10928","1"
"gentleman","0.10926","1"
"offensive","0.10926","1"
"demand","0.10841","1"
"caroli","0.10825","1"
"language","0.10825","1"
"non-somalis","0.10825","1"
"too.the","0.10825","1"
"glassbut","0.10815","1"
"level","0.10813","2"
"night.tom","0.10808","1"
"insist","0.10808","1"
"that.to","0.10808","1"
"longlook","0.10776","1"
"sets","0.10761","2"
"errors","0.10761","1"
"applause","0.10761","2"
"endorsed","0.10761","1"
"example","0.10761","1"
"bernardino","0.10761","1"
"erupts","0.10761","1"
"commandments","0.10761","1"
"cope","0.10761","1"
"adds","0.10761","1"
"corner","0.10761","1"
"shoved","0.10761","1"
"persists","0.10761","1"
"boyfriend","0.10760","1"
"york","0.10760","1"
"brotherhood","0.10751","1"
"glassi","0.10728","1"
"lines.meanwhile","0.10697","1"
"emotion","0.10682","1"
"area.zoe","0.10630","1"
"respects.some","0.10604","1"
"speaking","0.10604","1"
"glassneil","0.10603","1"
"speechwriter","0.10590","1"
"novstrupdearborn","0.10586","1"
"checking","0.10571","2"
"state.zoe","0.10563","1"
"communications","0.10561","1"
"pickled","0.10560","1"
"glassthat","0.10560","1"
"nothing","0.10553","1"
"bensonyou","0.10537","1"
"attract","0.10527","1"
"pillars","0.10474","1"
"motivates","0.10474","1"
"committee","0.10424","1"
"national committee","0.10424","1"
"again.bobby","0.10415","1"
"is.rob","0.10411","1"
"me.ira","0.10411","1"
"nationalists","0.10386","1"
"days.newt","0.10386","1"
"percentage","0.10330","1"
"phone","0.10319","1"
"zoning","0.10287","1"
"informed","0.10273","1"
"supposed","0.10195","2"
"michigan.zoe","0.10194","1"
"is","0.10173","2"
"zoe chaceyour","0.10149","1"
"sueit","0.10113","1"
"meyer","0.10085","1"
"rumor","0.10083","1"
"chacescott","0.10070","1"
"james","0.10041","1"
"justin","0.10013","1"
"television","0.10005","1"
"chaceat","0.10000","1"
"chaceayan","0.10000","2"
"chaceyour","0.10000","1"
"speech.ira","0.09982","1"
"husband","0.09944","1"
"grueling","0.09904","1"
"luther","0.09899","1"
"plank","0.09842","1"
"confronting","0.09810","1"
"intimidation","0.09762","1"
"opposite.zoe","0.09740","1"
"organized","0.09729","2"
"wussy","0.09692","1"
"elder","0.09692","1"
"a","0.09692","1"
"expands","0.09667","1"
"bensonshe","0.09649","1"
"states.another","0.09644","1"
"royno","0.09640","1"
"threatened","0.09629","1"
"glassdo","0.09622","1"
"counted","0.09622","1"
"occupy","0.09622","1"
"rising","0.09615","1"
"sorry","0.09615","1"
"mine","0.09615","1"
"convinced","0.09615","1"
"fellow","0.09615","1"
"xenophobe","0.09615","1"
"frontrunner","0.09615","1"
"fourth","0.09615","1"
"transparency","0.09615","1"
"offended","0.09615","1"
"minority","0.09615","1"
"prepared","0.09615","1"
"released","0.09615","1"
"november","0.09615","1"
"terrorist.aj","0.09615","1"
"thankless","0.09615","1"
"interest","0.09615","1"
"walking","0.09615","1"
"based","0.09615","1"
"blame","0.09580","1"
"grimace","0.09580","1"
"spit","0.09580","1"
"demonstration","0.09580","1"
"tick","0.09580","1"
"hesitate","0.09580","1"
"wall.bobby","0.09571","1"
"answers","0.09465","2"
"bankruptcies","0.09465","1"
"knocked","0.09465","1"
"married","0.09465","1"
"ourselves","0.09465","1"
"age","0.09446","1"
"hung","0.09427","1"
"kicked","0.09427","1"
"minuteman","0.09328","1"
"lives.bobby","0.09262","1"
"squirm","0.09262","1"
"barbecue","0.09262","1"
"bensonbecause","0.09262","1"
"recording","0.09235","1"
"argument","0.09232","1"
"passions","0.09232","1"
"apology","0.09232","1"
"speaker.donald","0.09185","1"
"emails","0.09124","1"
"toe","0.09113","2"
"settle","0.09093","1"
"too.somali","0.09057","1"
"involved","0.09047","1"
"pull","0.09047","1"
"proof","0.09047","1"
"shopping","0.09047","1"
"forced","0.09047","2"
"explanation","0.09047","1"
"sponsored","0.09047","1"
"ground","0.08988","1"
"presence","0.08988","1"
"applaud","0.08883","1"
"anymore","0.08829","1"
"expressing","0.08781","1"
